,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Weihnachtsmarkt Schneeflocken,Weihnachtsmarkt Schneeflocken,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schnee-Garantie,Schnee-Garantie,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Weihnachtsmarkt,Weihnachtsmarkt,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
französi…,französi…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schneemangel,Schneemangel,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Steuer,Steuer,LOC,0.17500000,0.00000000,de,1.00000000,,-1,,,,,,
Baden-Württemberg te,Baden-Württemberg te,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Berliner Sonne,Berliner Sonne,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Chile,Chile,LOC,0.00000000,0.00000000,de,1.00000000,4009929-5,3895114,X,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Urlaub,Urlaub,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Oldenburg,Oldenburg,LOC,0.70000000,0.00000000,de,1.00000000,4043457-6,2857458,X,53.14111100,8.21444400,EUROPE,Germany,NEU
Roadmap,Roadmap,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Leica Galerie Düsseldorf,Leica Galerie Düsseldorf,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bundesgerichtshof,Bundesgerichtshof,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
L…,L…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
BGH,BGH,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Haus,Haus,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Landesgericht St. Pölten,Landesgericht St. Pölten,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tornados,Tornados,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Abkommens,Abkommens,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Vogtland,Vogtland,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Pariser,Pariser,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Amerikaner,Amerikaner,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Vail,Vail,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schwarzenberg,Schwarzenberg,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Samstagmorgen,Samstagmorgen,LOC,0.00000000,0.33333333,de,1.00000000,,-1,,,,,,
IbizaHEUTE,IbizaHEUTE,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Werratal,Werratal,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
d…,d…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tag,Tag,LOC,0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
Reifenwechsel,Reifenwechsel,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wolken-Nebel-Mix,Wolken-Nebel-Mix,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Matrashauses,Matrashauses,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Garten,Garten,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Zugspitze,Zugspitze,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tourismusbranche heuer,Tourismusbranche heuer,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Winterurlaub,Winterurlaub,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Buchungsplattform Holidu,Buchungsplattform Holidu,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Wasserhosen,Wasserhosen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Baden-Württembergs,Baden-Württembergs,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
